30 1690409843 0,000000 0,000000 -101,000000 0,000000 0,000000
30 1690409844 0,000000 0,000000 -101,000000 0,000000 0,000000
30 1690409845 0,000000 0,000000 -101,000000 0,000000 0,000000
30 1690409846 0,000000 0,000000 -101,000000 0,000000 0,000000
30 1690409847 1,500000 0,400000 0,600000 0,600000 -20,200000
30 1690409848 1,500000 0,400000 1,200000 1,200000 -20,200000
30 1690409849 1,500000 0,400000 1,800000 1,800000 -20,200000
30 1690409850 1,500000 0,400000 2,400000 2,400000 -20,200000
30 1690409851 1,500000 0,400000 3,000000 3,000000 -20,200000
30 1690409852 0,750000 0,800000 3,600000 3,600000 -20,200000
30 1690409853 0,750000 0,800000 4,200000 4,200000 -20,200000
30 1690409854 0,750000 0,800000 4,800000 4,800000 -20,200000
30 1690409855 0,750000 0,800000 5,400000 5,400000 -20,200000
30 1690409856 0,750000 0,800000 6,000000 6,000000 -20,200000
30 1690409857 0,571429 1,400000 6,800000 6,800000 -20,200000
30 1690409858 0,571429 1,400000 7,600000 7,600000 -20,200000
30 1690409859 0,571429 1,400000 8,400000 8,400000 -20,200000
30 1690409860 0,571429 1,400000 9,200000 9,200000 -20,200000
30 1690409861 0,571429 1,400000 10,000000 10,000000 -20,200000
30 1690409862 0,363636 2,200000 10,800000 10,800000 -20,200000
30 1690409863 0,363636 2,200000 11,600000 11,600000 -20,200000
30 1690409864 0,363636 2,200000 12,400000 12,400000 -20,200000
30 1690409865 0,363636 2,200000 13,200000 13,200000 -20,200000
30 1690409866 0,363636 2,200000 14,000000 14,000000 -20,200000
30 1690409867 0,066667 3,000000 14,200000 14,200000 -20,200000
30 1690409868 0,066667 3,000000 14,400000 14,400000 -20,200000
30 1690409869 0,066667 3,000000 14,600000 14,600000 -20,200000
30 1690409870 0,066667 3,000000 14,800000 14,800000 -20,200000
30 1690409871 0,066667 3,000000 15,000000 15,000000 -20,200000
30 1690409872 0,227273 4,400000 16,000000 16,000000 -20,200000
30 1690409873 0,227273 4,400000 17,000000 17,000000 -20,200000
30 1690409874 0,227273 4,400000 18,000000 18,000000 -20,200000
30 1690409875 0,227273 4,400000 19,000000 19,000000 -20,200000
30 1690409876 0,227273 4,400000 20,000000 20,000000 -20,200000
30 1690409877 0,000000 5,400000 20,000000 20,000000 -20,200000
30 1690409878 0,000000 5,400000 20,000000 20,000000 -20,200000
30 1690409879 0,000000 5,400000 20,000000 20,000000 -20,200000
30 1690409880 0,000000 5,400000 20,000000 20,000000 -20,200000
30 1690409881 0,000000 5,400000 20,000000 20,000000 -20,200000
30 1690409882 -0,032258 6,200000 19,800000 19,800000 -20,200000
30 1690409883 -0,032258 6,200000 19,600000 19,600000 -20,200000
30 1690409884 -0,032258 6,200000 19,400000 19,400000 -20,200000
30 1690409885 -0,032258 6,200000 19,200000 19,200000 -20,200000
30 1690409886 -0,032258 6,200000 19,000000 19,000000 -20,200000
30 1690409887 0,000000 7,600000 19,000000 19,000000 -20,200000
