13 1690409842 2,200824 0,200000 2,200824 2,200824 0,968726
13 1690409843 2,200824 0,200000 2,200824 2,200824 0,968726
13 1690409844 2,200824 0,200000 2,200824 2,200824 0,968726
13 1690409845 2,200824 0,200000 2,200824 2,200824 0,968726
13 1690409846 2,200824 0,200000 2,200824 2,200824 0,968726
13 1690409847 1,372244 0,400000 1,361525 1,382963 0,753268
16 1690409847 0,734944 0,400000 0,668730 0,801158 0,217811
13 1690409848 1,372244 0,400000 1,361525 1,382963 0,753268
16 1690409848 0,734944 0,400000 0,668730 0,801158 0,217811
13 1690409849 1,372244 0,400000 1,361525 1,382963 0,753268
16 1690409849 0,734944 0,400000 0,668730 0,801158 0,217811
13 1690409850 1,372244 0,400000 1,361525 1,382963 0,753268
16 1690409850 0,734944 0,400000 0,668730 0,801158 0,217811
13 1690409851 1,372244 0,400000 1,361525 1,382963 0,753268
16 1690409851 0,734944 0,400000 0,668730 0,801158 0,217811
33 1690409852 0,678296 0,200000 0,678296 0,678296 0,092017
36 1690409852 0,400066 0,400000 0,395984 0,404147 0,064028
13 1690409852 1,833337 0,200000 1,833337 1,833337 0,672225
16 1690409852 0,666305 0,200000 0,666305 0,666305 0,088793
33 1690409853 0,678296 0,200000 0,678296 0,678296 0,092017
36 1690409853 0,400066 0,400000 0,395984 0,404147 0,064028
13 1690409853 1,833337 0,200000 1,833337 1,833337 0,672225
16 1690409853 0,666305 0,200000 0,666305 0,666305 0,088793
33 1690409854 0,678296 0,200000 0,678296 0,678296 0,092017
36 1690409854 0,400066 0,400000 0,395984 0,404147 0,064028
13 1690409854 1,833337 0,200000 1,833337 1,833337 0,672225
16 1690409854 0,666305 0,200000 0,666305 0,666305 0,088793
33 1690409855 0,678296 0,200000 0,678296 0,678296 0,092017
36 1690409855 0,400066 0,400000 0,395984 0,404147 0,064028
13 1690409855 1,833337 0,200000 1,833337 1,833337 0,672225
16 1690409855 0,666305 0,200000 0,666305 0,666305 0,088793
33 1690409856 0,678296 0,200000 0,678296 0,678296 0,092017
36 1690409856 0,400066 0,400000 0,395984 0,404147 0,064028
13 1690409856 1,833337 0,200000 1,833337 1,833337 0,672225
16 1690409856 0,666305 0,200000 0,666305 0,666305 0,088793
33 1690409857 0,683538 0,400000 0,670665 0,696412 0,186956
36 1690409857 0,379674 0,400000 0,367086 0,392262 0,057724
13 1690409857 1,676489 0,400000 1,513245 1,839733 1,134906
16 1690409857 0,800599 0,400000 0,760139 0,841058 0,257038
41 1690409857 0,232222 0,400000 0,230689 0,233756 0,021572
33 1690409858 0,683538 0,400000 0,670665 0,696412 0,186956
36 1690409858 0,379674 0,400000 0,367086 0,392262 0,057724
13 1690409858 1,676489 0,400000 1,513245 1,839733 1,134906
16 1690409858 0,800599 0,400000 0,760139 0,841058 0,257038
41 1690409858 0,232222 0,400000 0,230689 0,233756 0,021572
33 1690409859 0,683538 0,400000 0,670665 0,696412 0,186956
36 1690409859 0,379674 0,400000 0,367086 0,392262 0,057724
13 1690409859 1,676489 0,400000 1,513245 1,839733 1,134906
16 1690409859 0,800599 0,400000 0,760139 0,841058 0,257038
41 1690409859 0,232222 0,400000 0,230689 0,233756 0,021572
33 1690409860 0,683538 0,400000 0,670665 0,696412 0,186956
36 1690409860 0,379674 0,400000 0,367086 0,392262 0,057724
13 1690409860 1,676489 0,400000 1,513245 1,839733 1,134906
16 1690409860 0,800599 0,400000 0,760139 0,841058 0,257038
41 1690409860 0,232222 0,400000 0,230689 0,233756 0,021572
33 1690409861 0,683538 0,400000 0,670665 0,696412 0,186956
36 1690409861 0,379674 0,400000 0,367086 0,392262 0,057724
13 1690409861 1,676489 0,400000 1,513245 1,839733 1,134906
16 1690409861 0,800599 0,400000 0,760139 0,841058 0,257038
41 1690409861 0,232222 0,400000 0,230689 0,233756 0,021572
33 1690409862 0,683356 0,200000 0,683356 0,683356 0,093395
36 1690409862 0,405869 0,200000 0,405869 0,405869 0,032946
13 1690409862 1,688278 0,800000 1,501897 1,858527 2,298793
16 1690409862 0,912147 0,400000 0,664565 1,159730 0,357324
41 1690409862 0,229381 0,200000 0,229381 0,229381 0,010523
33 1690409863 0,683356 0,200000 0,683356 0,683356 0,093395
36 1690409863 0,405869 0,200000 0,405869 0,405869 0,032946
13 1690409863 1,688278 0,800000 1,501897 1,858527 2,298793
16 1690409863 0,912147 0,400000 0,664565 1,159730 0,357324
41 1690409863 0,229381 0,200000 0,229381 0,229381 0,010523
33 1690409864 0,683356 0,200000 0,683356 0,683356 0,093395
36 1690409864 0,405869 0,200000 0,405869 0,405869 0,032946
13 1690409864 1,688278 0,800000 1,501897 1,858527 2,298793
16 1690409864 0,912147 0,400000 0,664565 1,159730 0,357324
41 1690409864 0,229381 0,200000 0,229381 0,229381 0,010523
33 1690409865 0,683356 0,200000 0,683356 0,683356 0,093395
36 1690409865 0,405869 0,200000 0,405869 0,405869 0,032946
13 1690409865 1,688278 0,800000 1,501897 1,858527 2,298793
16 1690409865 0,912147 0,400000 0,664565 1,159730 0,357324
41 1690409865 0,229381 0,200000 0,229381 0,229381 0,010523
33 1690409866 0,683356 0,200000 0,683356 0,683356 0,093395
36 1690409866 0,405869 0,200000 0,405869 0,405869 0,032946
13 1690409866 1,688278 0,800000 1,501897 1,858527 2,298793
16 1690409866 0,912147 0,400000 0,664565 1,159730 0,357324
41 1690409866 0,229381 0,200000 0,229381 0,229381 0,010523
33 1690409867 0,934559 0,400000 0,647215 1,221903 0,382387
36 1690409867 0,370514 0,400000 0,366538 0,374489 0,054918
13 1690409867 1,580786 0,600000 1,429763 1,810285 1,515657
16 1690409867 0,662012 0,600000 0,621615 0,690254 0,263471
41 1690409867 0,266358 0,400000 0,230508 0,302208 0,028893
33 1690409868 0,934559 0,400000 0,647215 1,221903 0,382387
36 1690409868 0,370514 0,400000 0,366538 0,374489 0,054918
13 1690409868 1,580786 0,600000 1,429763 1,810285 1,515657
16 1690409868 0,662012 0,600000 0,621615 0,690254 0,263471
41 1690409868 0,266358 0,400000 0,230508 0,302208 0,028893
41 1690409869 0,266358 0,400000 0,230508 0,302208 0,028893
33 1690409869 0,934559 0,400000 0,647215 1,221903 0,382387
16 1690409869 0,662012 0,600000 0,621615 0,690254 0,263471
36 1690409869 0,370514 0,400000 0,366538 0,374489 0,054918
13 1690409869 1,580786 0,600000 1,429763 1,810285 1,515657
33 1690409870 0,934559 0,400000 0,647215 1,221903 0,382387
36 1690409870 0,370514 0,400000 0,366538 0,374489 0,054918
13 1690409870 1,580786 0,600000 1,429763 1,810285 1,515657
16 1690409870 0,662012 0,600000 0,621615 0,690254 0,263471
41 1690409870 0,266358 0,400000 0,230508 0,302208 0,028893
33 1690409871 0,934559 0,400000 0,647215 1,221903 0,382387
36 1690409871 0,370514 0,400000 0,366538 0,374489 0,054918
13 1690409871 1,580786 0,600000 1,429763 1,810285 1,515657
16 1690409871 0,662012 0,600000 0,621615 0,690254 0,263471
41 1690409871 0,266358 0,400000 0,230508 0,302208 0,028893
33 1690409872 0,673544 0,800000 0,658008 0,690979 0,363039
36 1690409872 0,401301 1,000000 0,370564 0,481560 0,162730
13 1690409872 1,382014 0,400000 1,280856 1,483172 0,768078
16 1690409872 0,730560 0,800000 0,627074 0,776775 0,429924
41 1690409872 0,215529 0,200000 0,215529 0,215529 0,009291
33 1690409873 0,673544 0,800000 0,658008 0,690979 0,363039
36 1690409873 0,401301 1,000000 0,370564 0,481560 0,162730
13 1690409873 1,382014 0,400000 1,280856 1,483172 0,768078
16 1690409873 0,730560 0,800000 0,627074 0,776775 0,429924
41 1690409873 0,215529 0,200000 0,215529 0,215529 0,009291
41 1690409874 0,215529 0,200000 0,215529 0,215529 0,009291
33 1690409874 0,673544 0,800000 0,658008 0,690979 0,363039
16 1690409874 0,730560 0,800000 0,627074 0,776775 0,429924
36 1690409874 0,401301 1,000000 0,370564 0,481560 0,162730
13 1690409874 1,382014 0,400000 1,280856 1,483172 0,768078
33 1690409875 0,673544 0,800000 0,658008 0,690979 0,363039
36 1690409875 0,401301 1,000000 0,370564 0,481560 0,162730
13 1690409875 1,382014 0,400000 1,280856 1,483172 0,768078
16 1690409875 0,730560 0,800000 0,627074 0,776775 0,429924
41 1690409875 0,215529 0,200000 0,215529 0,215529 0,009291
33 1690409876 0,673544 0,800000 0,658008 0,690979 0,363039
36 1690409876 0,401301 1,000000 0,370564 0,481560 0,162730
13 1690409876 1,382014 0,400000 1,280856 1,483172 0,768078
16 1690409876 0,730560 0,800000 0,627074 0,776775 0,429924
41 1690409876 0,215529 0,200000 0,215529 0,215529 0,009291
33 1690409877 0,657772 0,400000 0,635840 0,679705 0,173258
36 1690409877 0,454449 0,400000 0,359491 0,549407 0,086216
13 1690409877 1,660885 0,400000 1,555832 1,765938 1,107830
16 1690409877 0,702401 0,200000 0,702401 0,702401 0,098673
41 1690409877 0,225139 0,800000 0,220694 0,229843 0,040560
33 1690409878 0,657772 0,400000 0,635840 0,679705 0,173258
